year,global_avg_temp,city_avg_temp
1840,7.80,23.71
1841,7.69,20.76
1842,8.02,20.96
1843,8.17,21.05
1844,7.65,20.66
1845,7.85,20.66
1846,8.55,21.28
1847,8.09,20.91
1848,7.98,20.55
1849,7.98,20.85
1850,7.90,21.03
1851,8.18,21.12
1852,8.10,21.10
1853,8.04,21.61
1854,8.21,21.47
1855,8.11,20.90
1856,8.00,20.40
1857,7.76,20.97
1858,8.10,20.84
1859,8.25,21.07
1860,7.96,21.08
1861,7.85,20.83
1862,7.56,20.17
1863,8.11,20.67
1864,7.98,20.53
1865,8.18,21.49
1866,8.29,21.06
1867,8.44,21.39
1868,8.25,21.60
1869,8.43,21.39
1870,8.20,21.59
1871,8.12,21.37
1872,8.19,21.52
1873,8.35,21.06
1874,8.43,21.39
1875,7.86,21.30
1876,8.08,20.74
1877,8.54,21.31
1878,8.83,21.35
1879,8.17,21.43
1880,8.12,20.67
1881,8.27,21.03
1882,8.13,20.87
1883,7.98,20.59
1884,7.77,20.21
1885,7.92,20.44
1886,7.95,20.44
1887,7.91,20.86
1888,8.09,21.37
1889,8.32,21.17
1890,7.97,21.30
1891,8.02,21.22
1892,8.07,20.74
1893,8.06,20.53
1894,8.16,21.10
1895,8.15,20.97
1896,8.21,21.18
1897,8.29,21.19
1898,8.18,21.31
1899,8.40,21.03
1900,8.50,21.02
1901,8.54,21.11
1902,8.30,21.82
1903,8.22,20.93
1904,8.09,21.00
1905,8.23,20.91
1906,8.38,21.16
1907,7.95,21.21
1908,8.19,21.11
1909,8.18,21.47
1910,8.22,21.11
1911,8.18,21.16
1912,8.17,21.13
1913,8.30,21.04
1914,8.59,21.86
1915,8.59,21.80
1916,8.23,21.06
1917,8.02,20.67
1918,8.13,20.91
1919,8.38,21.43
1920,8.36,21.24
1921,8.57,21.39
1922,8.41,21.52
1923,8.42,21.64
1924,8.51,21.45
1925,8.53,21.05
1926,8.73,21.29
1927,8.52,21.17
1928,8.63,21.74
1929,8.24,21.57
1930,8.63,21.35
1931,8.72,21.36
1932,8.71,21.22
1933,8.34,21.47
1934,8.63,20.97
1935,8.52,21.55
1936,8.55,21.05
1937,8.70,21.85
1938,8.86,21.86
1939,8.76,21.44
1940,8.76,21.79
1941,8.77,21.95
1942,8.73,21.89
1943,8.76,21.88
1944,8.85,21.66
1945,8.58,21.41
1946,8.68,22.48
1947,8.80,21.44
1948,8.75,21.99
1949,8.59,22.02
1950,8.37,21.90
1951,8.63,21.53
1952,8.64,22.04
1953,8.87,21.91
1954,8.56,21.71
1955,8.63,21.59
1956,8.28,21.48
1957,8.73,21.43
1958,8.77,21.74
1959,8.73,21.89
1960,8.58,21.96
1961,8.80,21.75
1962,8.75,21.46
1963,8.86,21.96
1964,8.41,21.76
1965,8.53,21.83
1966,8.60,22.29
1967,8.70,21.50
1968,8.52,21.68
1969,8.60,21.28
1970,8.70,21.40
1971,8.60,21.44
1972,8.50,21.65
1973,8.95,22.00
1974,8.47,21.54
1975,8.74,21.65
1976,8.35,21.23
1977,8.85,22.07
1978,8.69,21.69
1979,8.73,21.74
1980,8.98,21.86
1981,9.17,21.90
1982,8.64,21.75
1983,9.03,21.57
1984,8.69,21.14
1985,8.66,21.47
1986,8.83,21.75
1987,8.99,22.38
1988,9.20,21.47
1989,8.92,21.91
1990,9.23,22.16
1991,9.18,22.04
1992,8.84,21.31
1993,8.87,21.43
1994,9.04,21.91
1995,9.35,21.27
1996,9.04,21.51
1997,9.20,21.65
1998,9.52,22.48
1999,9.29,22.15
2000,9.20,21.92
2001,9.41,22.06
2002,9.57,22.37
2003,9.53,22.21
2004,9.32,22.00
2005,9.70,21.85
2006,9.53,22.23
2007,9.73,22.31
2008,9.43,21.66
2009,9.51,22.20
2010,9.70,21.80
2011,9.52,21.53
2012,9.51,21.83
2013,9.61,22.80
